61294	263	380	230	1	1	1
63937	252	380	228	2	2	1
66361	251	381	228	3	3	1
68515	244	381	226	4	4	1
70740	232	381	220	5	5	1
73054	233	381	213	6	6	1
75288	231	381	209	7	7	1
77591	227	381	213	8	8	1
79806	234	380	225	9	9	1
81989	241	380	242	10	10	1
84036	234	380	250	11	11	1
86112	242	380	252	12	12	1
88237	242	380	254	13	13	1
90293	233	380	252	14	14	1
95474	229	379	252	15	1	2
97600	238	379	254	16	2	2
99618	239	379	259	17	3	2
101852	232	379	263	18	4	2
103887	242	379	264	19	5	2
105923	240	378	266	20	6	2
108043	232	378	265	21	7	2
110120	237	378	259	22	8	2
112149	238	378	245	23	9	2
114227	236	377	237	24	10	2
116264	244	377	234	25	11	2
118302	248	377	231	26	12	2
120350	249	378	231	27	13	2
122437	261	378	234	28	14	2
127264	254	379	237	29	1	3
129601	244	379	238	30	2	3
131639	242	379	239	31	3	3
133728	237	379	236	32	4	3
135756	237	380	233	33	5	3
137972	239	380	232	34	6	3
140529	239	379	229	35	7	3
143105	236	379	232	36	8	3
145651	241	379	244	37	9	3
147897	238	379	252	38	10	3
150411	228	379	260	39	11	3
152859	232	378	265	40	12	3
154917	230	378	267	41	13	3
157004	224	378	267	42	14	3
161949	219	378	271	43	1	4
164325	221	378	271	44	2	4
166581	226	378	272	45	3	4
168929	224	378	274	46	4	4
171026	235	378	276	47	5	4
173400	240	378	275	48	6	4
175645	236	378	277	49	7	4
177752	238	378	272	50	8	4
179819	238	378	262	51	9	4
181907	234	377	256	52	10	4
184014	232	377	255	53	11	4
186092	239	377	256	54	12	4
188130	240	377	258	55	13	4
190178	250	378	258	56	14	4
195241	250	378	257	57	1	5
197320	244	379	255	58	2	5
199462	241	379	253	59	3	5
201500	234	380	252	60	4	5
203699	234	380	249	61	5	5
206143	236	380	244	62	6	5
208649	237	380	238	63	7	5
211176	235	380	238	64	8	5
213671	240	379	245	65	9	5
215817	237	379	250	66	10	5
218013	228	379	255	67	11	5
220081	229	379	259	68	12	5
222129	223	378	259	69	13	5
224354	219	378	262	70	14	5
229469	223	378	261	71	1	6
231824	226	378	262	72	2	6
234041	232	377	262	73	3	6
236148	231	377	261	74	4	6
238275	235	377	261	75	5	6
240332	236	377	261	76	6	6
242495	232	376	258	77	7	6
244582	232	376	250	78	8	6
246620	232	375	241	79	9	6
248657	236	375	234	80	10	6
250745	235	375	231	81	11	6
252871	243	374	232	82	12	6
255019	246	374	233	83	13	6
257214	249	374	233	84	14	6
262179	247	374	239	85	1	7
264475	246	374	238	86	2	7
266741	242	375	239	87	3	7
269116	234	375	237	88	4	7
271462	234	375	233	89	5	7
273747	227	375	229	90	6	7
276372	227	374	224	91	7	7
278647	226	374	225	92	8	7
280884	232	373	232	93	9	7
283188	231	373	239	94	10	7
285334	230	373	245	95	11	7
287446	233	373	249	96	12	7
289513	227	372	249	97	13	7
291719	224	372	250	98	14	7
296824	226	372	249	99	1	8
299070	228	372	249	100	2	8
301574	235	371	248	101	3	8
303710	232	371	253	102	4	8
305964	232	371	255	103	5	8
308150	234	371	255	104	6	8
310276	227	371	254	105	7	8
312483	228	370	248	106	8	8
314779	229	370	241	107	9	8
316946	235	370	235	108	10	8
319083	234	369	235	109	11	8
321219	244	369	239	110	12	8
323315	246	369	244	111	13	8
325362	247	369	246	112	14	8
330941	247	370	251	113	1	9
333381	248	370	251	114	2	9
335637	245	371	254	115	3	9
337982	237	371	254	116	4	9
340287	239	371	249	117	5	9
342802	232	371	242	118	6	9
345187	231	371	241	119	7	9
347644	232	371	242	120	8	9
349830	238	371	246	121	9	9
352204	235	371	254	122	10	9
354429	236	371	259	123	11	9
356713	238	371	263	124	12	9
359069	232	371	265	125	13	9
361412	229	371	264	126	14	9
366695	232	371	266	127	1	10
368872	233	371	268	128	2	10
370910	239	371	268	129	3	10
373016	239	371	269	130	4	10
375044	241	371	270	131	5	10
377322	244	371	271	132	6	10
379400	238	371	272	133	7	10
381576	237	371	266	134	8	10
383666	237	371	260	135	9	10
385692	242	371	256	136	10	10
387730	238	371	254	137	11	10
389866	243	371	256	138	12	10
391944	246	371	260	139	13	10
394080	244	371	262	140	14	10
399084	242	371	268	141	1	11
401402	239	372	269	142	2	11
403638	237	372	271	143	3	11
406013	233	372	268	144	4	11
408279	239	372	263	145	5	11
410524	237	372	258	146	6	11
412789	239	372	253	147	7	11
414936	240	372	255	148	8	11
417112	246	372	261	149	9	11
